time,weathercode,temperature_2m_max,temperature_2m_min,precipitation_sum,month-day,city
2008-11-21,3,6.5,0.6,0.0,11.21,2
2008-11-22,3,2.1,-1.5,0.0,11.22,4
2008-11-22,1,4.3,-1.1,0.0,11.22,1
2008-11-22,1,2.1,-2.7,0.0,11.22,8
2008-11-22,3,3.5,-2.8,0.0,11.22,5
2008-11-22,3,3.1,-2.3,0.0,11.22,3
2008-11-22,51,5.6,0.9,0.1,11.22,6
2008-11-22,2,1.4,-1.2,0.0,11.22,2
2008-11-22,51,7.4,3.5,0.1,11.22,10
2008-11-22,3,4.4,-1.4,0.0,11.22,9
2008-11-22,51,6.3,1.3,1.7,11.22,7
2008-11-23,71,8.6,0.6,4.3,11.23,7
2008-11-23,73,7.3,-2.8,4.1,11.23,9
2008-11-23,75,6.6,-3.6,6.5,11.23,1
2008-11-23,55,9.2,3.2,3.7,11.23,10
2008-11-23,73,5.4,-0.3,8.5,11.23,4
2008-11-23,75,6.3,-3.9,7.9,11.23,3
2008-11-23,75,6.5,-4.0,5.0,11.23,8
2008-11-23,75,5.5,-1.0,7.7,11.23,2
2008-11-23,73,6.6,-3.9,4.8,11.23,5
2008-11-23,71,7.8,-0.2,18.0,11.23,6
2008-11-24,3,5.0,-0.2,0.0,11.24,4
2008-11-24,51,5.1,1.9,0.4,11.24,2
2008-11-24,51,6.3,3.6,0.9,11.24,10
2008-11-24,51,6.3,2.5,0.7,11.24,7
2008-11-24,55,6.2,4.1,2.5,11.24,6
2008-11-24,51,5.6,2.2,0.7,11.24,8
2008-11-24,3,6.1,2.3,0.0,11.24,9
2008-11-24,3,5.7,1.9,0.0,11.24,5
2008-11-24,3,6.1,2.2,0.0,11.24,1
2008-11-24,51,5.8,1.5,0.1,11.24,3
2008-11-25,3,4.8,-0.0,0.0,11.25,3
2008-11-25,3,6.0,0.4,0.0,11.25,1
2008-11-25,3,7.5,3.6,0.0,11.25,6
2008-11-25,1,5.9,-0.5,0.0,11.25,7
2008-11-25,51,5.0,0.7,0.2,11.25,8
2008-11-25,3,4.8,0.1,0.0,11.25,5
2008-11-25,1,6.4,1.9,0.0,11.25,10
2008-11-25,1,5.4,-0.3,0.0,11.25,9
2008-11-25,3,8.2,1.2,0.0,11.25,2
2008-11-25,3,8.8,-1.2,0.0,11.25,4
2008-11-26,51,9.4,4.7,0.2,11.26,3
2008-11-26,3,8.1,-1.0,0.0,11.26,1
2008-11-26,3,10.5,3.9,0.0,11.26,8
2008-11-26,3,8.8,-0.4,0.0,11.26,9
2008-11-26,3,9.7,1.6,0.0,11.26,5
2008-11-26,3,9.4,8.1,0.0,11.26,2
2008-11-26,51,9.5,8.4,0.5,11.26,4
2008-11-26,3,10.8,2.3,0.0,11.26,10
2008-11-26,51,10.0,7.7,0.4,11.26,6
2008-11-26,3,10.3,-0.8,0.0,11.26,7
2008-11-27,61,9.0,2.5,3.5,11.27,3
2008-11-27,55,10.5,6.7,1.7,11.27,1
2008-11-27,61,9.7,4.3,3.3,11.27,6
2008-11-27,53,8.5,3.2,2.0,11.27,2
2008-11-27,51,9.8,4.8,2.8,11.27,10
2008-11-27,53,9.8,6.4,1.3,11.27,9
2008-11-27,51,9.3,3.3,0.8,11.27,5
2008-11-27,53,9.5,2.0,0.9,11.27,8
2008-11-27,71,8.4,2.9,8.4,11.27,4
2008-11-27,51,9.9,4.7,0.5,11.27,7
2008-11-28,3,6.8,-0.3,0.0,11.28,7
2008-11-28,51,6.6,0.3,0.1,11.28,10
2008-11-28,3,4.2,-1.4,0.0,11.28,8
2008-11-28,51,5.9,-0.4,0.2,11.28,6
2008-11-28,51,3.6,-0.4,0.2,11.28,4
2008-11-28,3,3.8,0.5,0.0,11.28,2
2008-11-28,3,5.1,-0.8,0.0,11.28,3
2008-11-28,3,6.0,0.4,0.0,11.28,9
2008-11-28,55,8.6,3.2,9.6,11.28,1
2008-11-28,3,5.3,-0.8,0.0,11.28,5
2008-11-29,3,2.7,-0.1,0.0,11.29,7
2008-11-29,3,0.7,-1.5,0.0,11.29,8
2008-11-29,3,1.9,-1.4,0.0,11.29,4
2008-11-29,3,3.1,0.4,0.0,11.29,10
2008-11-29,53,4.5,1.8,3.1,11.29,1
2008-11-29,3,1.6,-1.2,0.0,11.29,6
2008-11-29,3,0.5,-1.5,0.0,11.29,3
2008-11-29,71,3.1,0.7,0.5,11.29,9
2008-11-29,3,1.6,-0.1,0.0,11.29,5
2008-11-29,3,1.4,-1.1,0.0,11.29,2
2008-11-30,2,-0.8,-4.3,0.0,11.3,4
2008-11-30,53,5.8,3.6,8.7,11.3,1
2008-11-30,3,2.8,-0.8,0.0,11.3,6
2008-11-30,71,2.6,0.3,0.1,11.3,7
2008-11-30,3,3.6,0.9,0.0,11.3,10
2008-11-30,3,2.5,-1.2,0.0,11.3,5
2008-11-30,2,-1.3,-4.0,0.0,11.3,2
2008-11-30,53,3.1,1.0,4.6,11.3,9
2008-11-30,3,1.7,-4.5,0.0,11.3,3
2008-11-30,3,2.7,-1.1,0.0,11.3,8
2008-12-01,71,3.1,-5.1,0.3,12.01,3
